url_description,occupation,index
http://www.stepfour.com/jobs/v9/911364010.htm,Able Seaman,1
http://www.stepfour.com/jobs/v5/570682010.htm,Abrasive Grader,2
http://www.stepfour.com/jobs/v6/673685010.htm,Abrasive Grinder,3
http://www.stepfour.com/jobs/v5/570485010.htm,Abrasive Mixer,4
http://www.stepfour.com/jobs/v6/677685010.htm,Abrasive Sawyer,5
http://www.stepfour.com/jobs/v6/692685010.htm,Abrasive-Band Winder,6
http://www.stepfour.com/jobs/v5/574462010.htm,Abrasive-Coating-Machine Operator,7
http://www.stepfour.com/jobs/v5/570686010.htm,Abrasive-Grader Helper,8
http://www.stepfour.com/jobs/v5/570686014.htm,Abrasive-Mixer Helper,9
http://www.stepfour.com/jobs/v5/575685010.htm,Abrasive-Wheel Molder,10
http://www.stepfour.com/jobs/v5/551382010.htm,Absorption Operator,11
http://www.stepfour.com/jobs/v1/008061010.htm,Absorption-And-Adsorption Engineer,12
http://www.stepfour.com/jobs/v1/119267010.htm,Abstractor,13
http://www.stepfour.com/jobs/v1/090117010.htm,Academic Dean,14
http://www.stepfour.com/jobs/v1/015362010.htm,Accelerator Operator,15
http://www.stepfour.com/jobs/v1/194122010.htm,"Access Coordinator, Cable Television",16
http://www.stepfour.com/jobs/v3/375263010.htm,Accident-Prevention-Squad Police Officer,17
http://www.stepfour.com/jobs/v7/730281010.htm,Accordion Maker,18
http://www.stepfour.com/jobs/v7/730281014.htm,Accordion Repairer,19
http://www.stepfour.com/jobs/v7/730381010.htm,Accordion Tuner,20
http://www.stepfour.com/jobs/v1/164167010.htm,Account Executive,21
http://www.stepfour.com/jobs/v2/210367010.htm,Account-Information Clerk,22
http://www.stepfour.com/jobs/v1/160162018.htm,Accountant,23
http://www.stepfour.com/jobs/v1/160162022.htm,"Accountant, Budget",24
http://www.stepfour.com/jobs/v1/160162026.htm,"Accountant, Cost",25
http://www.stepfour.com/jobs/v1/160167022.htm,"Accountant, Property",26
http://www.stepfour.com/jobs/v1/160167026.htm,"Accountant, Systems",27
http://www.stepfour.com/jobs/v1/160162010.htm,"Accountant, Tax",28
http://www.stepfour.com/jobs/v2/216482010.htm,Accounting Clerk,29
http://www.stepfour.com/jobs/v2/214462010.htm,Accounts-Adjustable Clerk,30
http://www.stepfour.com/jobs/v7/734687010.htm,Acetone-Button Paster,31
http://www.stepfour.com/jobs/v5/552685010.htm,Acetone-Recovery Worker,32
http://www.stepfour.com/jobs/v5/549665010.htm,Acetylene-Cylinder-Packing Mixer,33
http://www.stepfour.com/jobs/v5/549585010.htm,Acetylene-Plant Operator,34
http://www.stepfour.com/jobs/v7/727484010.htm,Acid Adjuster,35
http://www.stepfour.com/jobs/v7/727687010.htm,Acid Dumper,36
http://www.stepfour.com/jobs/v5/558382010.htm,Acid Extractor,37
http://www.stepfour.com/jobs/v7/727687014.htm,Acid Filler,38
http://www.stepfour.com/jobs/v5/559662010.htm,Acid Maker,39
http://www.stepfour.com/jobs/v5/559685010.htm,Acid Purifier,40
http://www.stepfour.com/jobs/v5/559132010.htm,Acid Supervisor,41
http://www.stepfour.com/jobs/v5/558565010.htm,Acid-Plant Helper,42
http://www.stepfour.com/jobs/v5/558685010.htm,Acid-Polymerization Operator,43
http://www.stepfour.com/jobs/v8/861381010.htm,Acid-Tank Liner,44
http://www.stepfour.com/jobs/v8/860381010.htm,Acoustical Carpenter,45
http://www.stepfour.com/jobs/v1/100267010.htm,Acquisitions Librarian,46
http://www.stepfour.com/jobs/v1/159247010.htm,Acrobat,47
http://www.stepfour.com/jobs/v9/962684010.htm,Acrobatic Rigger,48
